subj,tr_id,tr_type,x1,y1,dur1,gap1,x2,y2,dur2,gap2,x3,y3,dur3,gap3,x4,y4,dur4,gap4,x5,y5,dur5
P007,5.1,L,-5.399999999999977,126.86222222222216,228,44,20.533333333333303,63.431111111111136,390,22,15.733333333333348,87.51407407407407,170,42,2.7333333333333485,179.0103703703703,374,48,15.466666666666697,68.36148148148152,518
P007,5.3,H,30.26666666666665,-19.247407407407366,498,24,42.73333333333335,43.899259259259225,302,26,69.4666666666667,64.18962962962962,476,56,-28.600000000000023,34.98666666666668,268,38,44.0,40.58074074074068,276
P007,5.4,L,-4.2666666666666515,59.16444444444437,268,26,5.0,97.4696296296296,294,50,19.200000000000045,179.7688888888889,292,54,30.799999999999955,19.72148148148142,260,68,16.399999999999977,-209.91999999999996,142
P007,6.0,L,9.0,-22.94518518518521,198,28,-5.06666666666672,22.18666666666661,238,30,-82.39999999999998,9.671111111111145,258,30,-21.600000000000023,27.21185185185186,258,24,6.7333333333333485,14.03259259259255,358
P007,6.1,H,-48.133333333333326,-77.08444444444433,102,58,5.666666666666629,75.94666666666672,202,28,63.73333333333335,69.49925925925925,302,46,-11.733333333333348,161.27999999999997,242,66,-40.866666666666674,-55.37185185185183,246
P007,6.2,F,-103.33333333333337,-17.351111111111095,184,38,-64.26666666666665,-6.25777777777779,154,28,30.533333333333303,-3.1288888888888664,290,16,35.200000000000045,6.3525925925926,286,48,-50.26666666666665,0.2844444444443752,306
P007,6.3,H,-90.33333333333337,-10.619259259259309,194,28,-20.06666666666672,50.91555555555556,222,32,62.33333333333337,34.98666666666668,236,24,70.39999999999998,98.79703703703706,328,40,-13.93333333333328,95.762962962963,424
P007,6.4,L,54.5333333333333,-53.47555555555556,168,40,1.9333333333332803,-19.0577777777778,190,52,-4.666666666666629,117.19111111111113,288,22,-2.7333333333333485,139.4725925925926,256,118,-45.5333333333333,-125.914074074074,236
P007,7.0,L,-7.0,-7.490370370370329,226,50,-17.93333333333328,-158.81481481481484,198,70,1.2666666666666515,82.86814814814818,238,66,-20.600000000000023,-194.4651851851852,456,20,-9.93333333333328,-202.14518518518526,348
P007,7.1,F,-46.06666666666672,-12.325925925925901,224,32,26.33333333333337,-24.841481481481537,348,32,-51.66666666666663,-22.8503703703704,310,30,22.200000000000045,-22.56592592592591,366,48,-46.73333333333335,-29.48740740740743,398
P007,7.2,H,-14.0,-7.016296296296275,178,50,22.600000000000023,109.32148148148144,274,26,57.5333333333333,107.89925925925922,228,40,-32.73333333333335,-47.691851851851766,276,28,-8.600000000000023,38.968888888888955,350
P007,7.4,H,-31.0,-86.4711111111111,136,32,38.4666666666667,21.522962962962993,268,48,69.33333333333337,-85.52296296296294,224,32,71.39999999999998,12.51555555555558,278,26,77.79999999999995,42.38222222222225,280
P007,8.1,F,-5.2000000000000455,-59.54370370370361,204,342,-2.8666666666666742,-12.894814814814822,114,26,1.7999999999999545,19.342222222222176,202,44,-43.133333333333326,29.5822222222223,256,26,23.200000000000045,32.995555555555484,284
P007,8.2,H,-25.73333333333335,-52.71703703703707,102,32,6.333333333333371,84.19555555555553,248,26,31.33333333333337,128.66370370370373,324,30,-41.799999999999955,33.943703703703704,270,24,-3.6000000000000227,81.82518518518509,452
P007,8.3,F,-42.200000000000045,-1.8962962962962706,188,34,30.399999999999977,-5.783703703703736,230,34,-53.799999999999955,-6.068148148148111,348,48,22.06666666666672,-15.170370370370392,198,32,-50.39999999999998,-17.82518518518515,278
P007,8.4,H,-61.06666666666672,12.894814814814822,312,56,62.33333333333337,3.8874074074074088,242,38,-47.93333333333328,23.798518518518563,234,30,-29.466666666666697,148.95407407407413,280,30,-17.799999999999955,45.890370370370306,834
P007,9.0,H,-15.600000000000023,-114.34666666666669,108,48,8.600000000000023,21.238518518518504,256,46,-29.399999999999977,-89.41037037037029,204,48,-12.600000000000023,22.565925925925853,270,52,-17.93333333333328,-107.80444444444441,172
P007,9.1,F,-28.533333333333303,-4.45629629629633,216,28,23.66666666666663,13.653333333333308,244,18,37.06666666666672,14.03259259259255,208,48,-36.60000000000002,-3.3185185185185446,394,26,21.200000000000045,-3.6977777777777305,222
P007,9.2,L,45.4666666666667,-10.619259259259309,196,44,-11.466666666666697,-14.601481481481471,256,26,-30.133333333333326,23.514074074074074,256,26,4.600000000000023,31.668148148148134,340,22,27.799999999999955,30.15111111111105,404
P007,9.3,H,52.06666666666672,-70.3525925925926,114,70,-120.60000000000002,-69.21481481481482,244,54,-113.33333333333337,48.35555555555561,244,54,-5.399999999999977,-35.1762962962963,346,30,-85.73333333333335,-86.75555555555553,210
P007,9.4,L,-13.200000000000045,63.81037037037038,356,20,-24.399999999999977,18.109629629629694,282,28,-4.7333333333333485,-14.31703703703704,376,22,4.133333333333326,4.07703703703703,202,26,-26.466666666666697,30.245925925925917,340
P007,10.0,F,-13.866666666666674,-25.410370370370345,350,30,32.200000000000045,10.619259259259252,336,30,-23.133333333333326,-3.60296296296292,688,22,22.866666666666674,-6.7318518518519,522,16,43.0,3.3185185185185446,404
P007,10.1,L,-24.0,-42.097777777777765,268,42,8.93333333333328,-30.625185185185103,232,26,-25.866666666666674,-36.788148148148025,254,28,1.7999999999999545,-50.06222222222215,160,44,-82.0,-54.13925925925929,350
P007,10.2,H,-16.466666666666697,1.7066666666665924,216,34,6.133333333333326,-18.96296296296299,244,54,31.0,71.96444444444444,246,40,11.666666666666629,14.885925925926017,624,28,25.33333333333337,-60.2074074074074,248
P007,10.3,F,116.93333333333328,-6.162962962962979,130,52,-0.7333333333333485,19.626666666666665,172,26,-37.93333333333328,15.549629629629635,384,30,28.93333333333328,15.075555555555525,302,12,36.5333333333333,15.549629629629635,180
P007,10.4,L,-26.799999999999955,-26.73777777777775,154,48,5.133333333333326,53.66518518518524,286,26,43.799999999999955,34.32296296296306,286,52,-16.799999999999955,-31.00444444444446,286,26,5.93333333333328,-3.3185185185185446,358
P007,11.1,L,-58.60000000000002,-40.10666666666657,164,48,-5.2666666666666515,35.27111111111117,708,22,30.600000000000023,43.425185185185114,290,46,22.66666666666663,-29.108148148148132,284,28,-37.4666666666667,-36.69333333333333,222
P007,11.3,L,-14.06666666666672,-150.56592592592585,116,56,-2.9333333333332803,31.194074074074024,280,28,-4.866666666666674,-22.75555555555553,320,20,4.2000000000000455,-1.6118518518518954,232,46,80.06666666666672,34.133333333333326,284
P007,11.4,H,31.0,-5.1200000000000045,414,20,41.799999999999955,13.937777777777796,460,70,117.06666666666672,-184.13037037037043,174,56,87.06666666666672,-50.251851851851825,246,60,-26.399999999999977,-47.78666666666663,488
P007,12.1,L,-2.3333333333333712,-154.92740740740737,126,54,3.6666666666666288,35.27111111111117,272,26,35.799999999999955,7.300740740740821,384,32,41.0,21.997037037037103,198,24,8.06666666666672,-18.583703703703748,196
P007,12.2,H,44.39999999999998,15.360000000000014,194,42,49.33333333333337,63.81037037037038,190,44,-48.0,-69.21481481481482,242,44,26.06666666666672,58.59555555555551,366,34,55.73333333333335,27.02222222222224,210
P007,12.3,L,-13.666666666666629,-150.09185185185174,108,56,-5.7333333333333485,21.428148148148125,622,44,-37.4666666666667,-10.998518518518551,228,30,8.666666666666629,-14.03259259259255,490,52,1.7999999999999545,-123.92296296296297,244
